loan							n.借款(可数)，借用(不可数)，vt.借出
vocabulary					n.词汇，词汇量，词汇表
illustrate					vt.说明，举例说明
overflow						vi.溢出，vt.溢出，挤满n.溢出
fantasize						vt.幻想vi.幻想
amusing						adj.有趣的
universal							adj.普遍的，全体的，通用的n.通用原则
generate						vt.产生，生成，创造
schedule						n.计划vt.安排
backslide						n.故态复萌的人
particle						n.颗粒
menu							n.菜单
reward							n.报偿vt.报偿，值得
reproduce						vt.复制，再现，繁殖vi.繁殖
worsen						vi.使变得更糟vt.使变得更糟
feedback						n.反馈
equivalent						n.相等物adj.相等的
resign						vi.辞职vt.辞职
motivate						vt.促动
compel						vt.强迫，强求
compel respect					肃然起敬
revise						vt.修改，(英)复习，修订
dampen						vt.使...潮湿，<比喻>抑制
prosperity					n.繁荣
flow							vi.流动，循环，涌至，流畅，涨潮n.流动，循环，涌至，流畅，涨潮
humanity						n.人类，人道
sideways						adj.向旁边的，adv.向旁边，侧身
pursue					vt.追逐，从事
innovate						vi.革新
mill							n.磨坊，烦琐程序，vt.磨，制造
go through the mill				饱经辛酸
promotional					adj.广告宣传的，晋升的
