dump						n.垃圾场，讨厌的地方，转存vt.倾倒，抛弃，转存
resist							vt.抵抗，拒受...的诱惑vi.抵抗
source						n.源头，消息来源，vt.获得
legal							adj.法律的，法定的
picky							adj.挑剔的
steal							vt.偷，vi.偷，偷偷移动n.便宜货，偷
despite						prep.尽管
explosion						n.爆炸，激增，突然出现
gap						n.空白处，空缺，<比喻>差异
the generation gap				代沟
relevant						adj.有关的
ignore					vt.忽视
complete						adj.全部的，完整的，彻底的，完成的vt.完成
complete and utter				完完全全的
sufficient						adj.充足的
switch					n.开关，转变，调换vt.改变，调换vi.改变，调换
request								n.要求vt.要求
stereotype						n.模式化观念vt.模式化观念
conform to a stereotype			墨守陈规
couple						n.夫妻，情侣，两个vt.连接
honesty						n.诚实，正直
transportation					n.运输，运输系统，运输工具
physical						adj.身体的，物质的n.体检
go for a physical				去体检
screen						n.屏风，屏幕，vt.遮蔽，筛查
a screen role					电影角色
divine						adj.上帝的，神授的，极好的vt.猜到
guideline						n.指导方针
revolution						n.革命，天体运行
interruption					n.插嘴，阻断
dishwasher						n.洗碗机，洗碗工
promise								n.承诺，希望vt.答应，预报vi.承诺
promising						adj.前景看好的
vary							vi.相异，变化vt.改变
permanent								adj.永久的
manufacture					vt.大量生产，生成，编造n.大量生产
