fussy							adj.挑剔的，大惊小怪的
dictate						vt.口述，支配vi.口述n.命令，支配
professional					adj.职业性的，专业的，习惯性的n.内行
prosper						vi.富有，繁荣
exchange						vt.交换n.交换(兑换)，争论
concentration					n.专注，聚集，浓度
gesture							n.手势，vi.用动作示意vt.用动作示意
deliberate						adj.故意的，慎重的，vi.仔细讨论，认真考虑vt.仔细讨论，认真考虑
contribution						n.作用，贡献，捐助
bless							vt.神佑，赋予，感激
detective						n.侦探
evident						adj.明显的
retreat						n.撤退，隐居处vi.(军队)撤退
responsible					adj.负有责任的，成为起因的
identity							n.身份，特点，个性
statistics						n.统计数字
appreciate						vt.感激，意识到，欣赏vi.升值
insult						n.辱骂，侮辱vt.辱骂，侮辱
neglect						vt.疏于照管，遗漏，忽视n.忽视，遗漏
neglect of duty					玩忽职守
primarily						adv.主要的
long							adj.长的，长时间的，adv.长久的，很早以前，整个的vi.渴望
incline						vt.弯下，使...倾向于，vi.弯腰，倾向(倾斜)n.斜坡
asset							n.资产，优势
overtake						vt.超过，压倒
extension						n.延长部分，延期，扩大
engine						n.发动机
emphasize						vt.强调，重读
genuine						adj.真的，真诚的
fascination					n.入迷，吸引力
lodge							n.门房vt.正式提出，存放vi.寄宿，嵌入
