cheat							vi.欺骗，vt.欺骗，侥幸逃脱n.骗子，欺骗
security						n.安全，担保，保障，证券
painful						adj.令人痛苦的，艰苦的
emerge							vi.出现(形成)，摆脱
instance						n.情况，例子vt.例子
steep							adj.陡峭的，急剧的，vt.浸泡vi.浸泡
rigorous						adj.严格的，缜密的
persuade						vt.说服，使相信
procedure							n.程序
signature								n.签名
surpass						vt.胜过，超出
campaign					n.战役，运动vi.战役，运动
advance						vi.前进，上涨，vt.前进，提前，预支n.增加，发展adj.提前
advance payment					预付款
charity						n.慈善机构(慈善)，慈爱
average						n.一般水平，平均的，adj.平均的，普通的
indispensable					adj.不可或缺的
irrationally					adv.不合逻辑的
accompany							vt.陪同，伴随，伴奏vi.伴奏
aviation						n.航空
distress						n.痛苦，危难vt.痛苦
invariably						adv.一贯的
invest						vt.投资，使...就职，赋予vi.投资
approximately				adv.大约
conservation							n.保护，节约，<物理>守恒
ease									n.容易，轻松自在vt.减轻，小心的移动vi.减轻
extracurricular							adj.课外的
undoubtedly					adv.毫无疑问的
excellent						adj.极好的，杰出的
investigate					vt.调查，审查vi.调查
judgement						n.判断力，看法，判决，报应
