struggle					n.斗争，奋斗，vi.奋斗，斗争，艰难的做
prohibitively				adv.使人望而却步的
military					adj.军事的
consequently				adv.因此
suffer					vt.遭受，忍受vi.忍受，受到妨碍
visible					adj.看得见的，明显的
swift								adj.迅速的，速度飞快的，n.雨燕
battle					n.战斗，斗争vi.战斗，斗争
liability					n.不利条件(可数)，<复数>负债，<法>责任(不可数)
resistant					adj.抵抗...的
rustresistant				adj.防锈的
nutritious					adj.有营养的
constantly					adv.不断的，始终的，忠诚的
familiar							adj.熟悉的，常遇到的
terribly					adv.非常，糟糕的，很厉害的
restore					vt.修复，使...复职，使...复元
refine					vt.提炼(糖)，改进，使...优雅(言行)vi.改进
inspire							vt.鼓舞，使产生，激起
comply					vi.服从，遵守
justice					n.公正，司法，法官
district					n.区域
installation				n.安装，就职，装备，设施
marvelous					adj.令人惊奇的，极好的
provoke						vt.激怒，引起
lobby									n.大堂，游说(团体)vt.游说vi.游说
interview					n.面试，面谈vt.面试vi.面试
release					vt.释放，免除...的责任(债务)，打开(机械)，(手)放开，发射(发布)n.释放，发射(发布)
explore					vt.勘查，探索vi.勘查
profound					adj.巨大的，强烈的，极度的，深奥的
exploit					n.英雄业绩vt.开发，剥削
startup					n.初创公司
