constructive						adj.建设性的
unbearable						adj.难以忍受的
laundry							n.洗衣店，衣物
seize							vt.抓住，利用
poison							n.毒物vt.毒死，污染
bakery							n.面包店
tent								n.帐篷
wedding							n.婚礼
fair								adj.公正的，合理的，相当，晴朗的，美丽的adv.按照规则
geographic						adj.地理的
comprehensive						adj.全面的，综合性的，绝对的
riot								n.骚乱，丰富多彩vi.骚乱
conspicuous						adj.显眼的，显著的
block							n.方块，大楼，街区，阻碍vt.阻碍
acute							adj.极度的，<医学>急性的，敏锐的，锐角的
endure							vt.忍耐vi.持续
assembly							n.人群，集会，立法机构
opponent							n.对手，反对者
confront							vt.面对
stir								vt.搅动，使行动vi.搅动，醒来，萌生n.搅动
rocket							n.火箭，<英>斥责，vi.飙升，飞奔
attribute							vt.(说明原因)把某事物归因于...，n.属性(品质)，(物质的)标志
sentence							n.句子，判决vt.判决
tempting				adj.诱人的
commitment							n.承诺，责任感，花费
feasible							adj.可行的，<非正式>可能的
outcome									n.结果
diligent							adj.勤奋的，坚持不懈的
deprive							vt.剥夺
grid								n.格栅，网格
