distribute							vt.分发(食物&传单)，分配(利润&财产)，分散(重量)
destruction						n.毁灭，摧毁
divide							vt.分，分配，分开，除vi.分，<数学>整除n.分歧
the North-South divide				南北分歧
highlight							n.最精彩的部分vt.强调
justify							vt.是...的正当理由(辩解)
to justify oneself					为自己辩解
announce							vt.宣布，介绍
proposal							n.提议，求婚
advisory							adj.顾问的，建议性的
mystery							n.神秘
punctual							adj.准时的
derive							vi.起源于...vt.获得，衍生
harmony							n.和谐
unwilling							adj.勉强的
view							n.观点，思维方式，视野，景色，看vt.看vi.看
in view of							鉴于
with a view to						有...的打算
financial							adj.金融的
priority							n.优先，adj.优先的
impermanent						adj.临时的
symbolize							vt.象征，代表(人&艺术作品)
bankrupt							adj.破产的，完全缺乏的vt.破产的n.破产的
morally bankrupt					道德沦丧
intake							n.摄取量，入口，(学校)新生
addiction							n.瘾
productive							adj.高产的，富有成效的
admire							vt.羡慕，欣赏
reflect					vt.映出，显示，深思vi.深思
reflect on							导致
underline							vt.强调
representative					adj.典型的n.代表
blame						vt.责怪n.责怪
retrain							vt.再培训vi.再培训
tasteless					adj.淡而无味的，庸俗的
excessive					adj.过高的，过分的
excessive drinking					酗酒
