dishonest					adj.不诚实的，欺骗性的
caution								n.小心，警告vt.警告vi.警告
glorious						adj.光荣的，壮丽的，极度的
pointless						adj.无意义的
significant					adj.重要的，有意义的
mutual						adj.相互的，共同的
mutual consent					双方同意
temptation								n.诱惑
passive						adj.被动的，冷漠的
evolve						vi.进化，逐步发展vt.逐步发展
treasure						n.珍宝，vt.珍爱
shock									n.震惊，休克vt.震惊
disservice					n.损害
ambitious						adj.有志向的
fancy								vt.想要(英)，n.想象adj.高级的
accumulate								vt.积累vi.积累
fuss							n.小题大做，争吵vi.烦恼vt.烦恼
fuss over						过分关心
fuss with						摆弄
ultimately						adv.最终，根本上
showmanship					n.组织演出的才能
cancel					vt.取消vi.取消
regulate						vt.控制，调节
peer							vi.仔细看，n.同龄人
calculate						vt.计算，估计，计划
calculate on					指望
virtually						adv.实际上，<计算机>虚拟的
accustom					vt.使某人习惯于某事
retailer					n.零售商
advice						n.劝告，意见，通知
admiration					n.敬佩
courageous					adj.勇敢的
respectful					adj.尊敬的
