make-up						n.化妆品，性格，组成
reservation					n.预订，预留，保留意见
apply							vi.申请，应用vt.应用
demonstrate					vt.示范操作，证明，表露vi.游行示威
generation						n.一代人，产生
chat								n.聊天vi.聊天
ancient					adj.古代的，年老的
evil							adj.邪恶的，n.邪恶
indifferent						adj.漠不关心的，一般的
namely						adv.即
effect						n.结果，效果vt.<正式>实行
in effect						实质上
devote						vt.把...专用于，奉献
appointment					n.约会，任命，职位
appoint					vt.任命，确定，装设
well appointed					陈设齐全的
resemble						vt.像，类似于
assemble						vt.召集，收集，装配vi.集合
expressiveness					n.富有表情，意味深长
visibility						n.能见度，明显性
distracted						adj.注意力分散的
debt							n.欠款，人情债
substitute						n.代替品vt.替代vi.替代
insecure						adj.缺乏信心的，无保障的
chap							vt.使...皲裂，vi.使...皲裂n.小伙子
selective						adj.有选择的，精挑细选的
compensation					n.补偿
dilemma								n.窘境
foreseeable					adj.可预见的
inadequacy						n.不充足，缺点
guarantee						n.保修单，保证vt.保证
discrimination			n.歧视，鉴赏力
