intense						adj.强烈的，紧张的
facilitate					vt.促进，加快
mislead					vt.误导
reassess					vt.重新考虑
response					n.答复，反应
essay						n.短文，尝试vt.尝试
stimulate					vt.刺激，<生理>促进
dessert					n.甜点
peaceful					adj.安静的，和平的
regularly					adv.有规律的，经常
fascinate					vt.迷住
durability					n.耐用，持久
discover					vt.查明，发现
constitute					vt.形成，成为
administrative				adj.行政的
tremble						vi.颤抖，担心n.颤抖
ignorant					adj.不知情的，蒙昧的
decorate					vt.装饰，颁授<军>，vi.装潢
acquire							vt.获得，习得
annual							adj.每年的
due								adj.到期的，应有的，适当的，prep.因为
to be due					预期发生
due north			正北
dues						n.应缴款
situation					n.情况，位置
archive					n.档案，把...存档
incomparable				adj.无与伦比的，完全不同的
perspective				n.透视法，观点
compete					vi.竞争，比赛
joint						n.关节，接合处，adj.共同的
overload					vt.使...超载，n.超负荷
mechanic					n.技工
distinguish						vt.区分，使得以区分vi.区分
distinguish right from wrong	明辨是非
distinguish oneself			作为...而享有盛名
