vote							n.票，投票，vt.投票，建议，同意vi.投票
everlasting						adj.永恒的
construction						n.建造，装配，构思，解释
aggressive							adj.好斗的，积极强硬的
classification					n.分类，类别
melt						vi.融化，变软，融合vt.融化，变软n.融化
detect						vt.查明，发现
discourage				vt.使灰心，阻拦
combination				n.混合体，组合
combination lock					密码锁
grave							n.坟墓，adj.严重的
malfunction						vi.发生故障，n.故障
reduce						vt.减少，降低，缩短，迫使vi.减少，降低，缩短
respectively					adv.各自
forefinger						n.食指
wise							adj.聪明的，博学的，知情的
background						n.背景，不显著的位置
symbol						n.符号，象征
quality						n.质量，性质，优质adj.高质量的
downfall						n.衰落，大阵雨
ring							n.戒指，环状物，圈，vt.环绕，vi.打电话，vt.打电话n.铃声
planet						n.行星
pension						n.养老金
perception						n.感觉，洞察，看法(可数)
facility						n.场所，特色服务，便利，才能
with facility					不费力的
proportion						n.部分(可数)，比例(不可数)，均衡vt.(使成)比例
in proportion					成等比的
proportions						n.规模
involve						vt.需要，影响，使参与，吸引
attempt						vt.企图n.企图
conventional				adj.传统的，墨守陈规的
detailed						adj.详细的，精细的
