interpretation				n.理解，说明，口译
guilt								n.有罪，内疚
connectivity						n.连接
behave							vi.表现
instruct							vt.教导，吩咐
infinite							adj.无限的，极大的
hazard							n.危险vt.危险
undervalue							vt.对...估价太低，轻视
specific							adj.详细的(明确的)，特有的
specifics			n.详情
appealing							adj.有吸引力的，恳求的
fitness							n.健康，适合
physical fitness					身体健康
conclusion							n.结尾，结论
absent							adj.缺席的，缺乏的
antique							n.古董adj.古代的
myth								n.神话故事，错误观念
intervention				n.干涉
trace								n.痕迹，微量，小路vt.查出
protest							n.抗议vi.抱怨vt.抱怨
refuel							vt.给...加燃料，加剧vi.给...加燃料
tackle							vt.处理n.阻截vi.阻截
finance							n.资金，财政vt.资金
finances							n.财力
fine								n.罚款，vt.罚款，adj.极好的adv.极好的
indicate					vt.指示，表明，暗示
expand							vt.扩大vi.增加，扩大
spontaneous						adj.主动的(提供)，自然的(行为举止)，淳朴的(人)
offense				n.犯罪，冒犯，进攻
abruptly							adv.突然的，陡峭的
recycle							vt.回收利用
rude								adj.粗鲁的，猥亵的，简陋的
