contribute						vt.捐献，提出，vi.是...的原因之一，捐献
embarrass							vt.使尴尬
weaken						vi.动摇，衰退，变虚弱vt.变虚弱，衰退，动摇
mineral						n.矿物，无机物adj.矿物的
sticky						n.黏糊糊的，闷热的，棘手的
challenge							n.比赛邀请，挑战vt.挑战，激发
excess						n.过量adj.过多的
excesses						n.放肆的行为
recruit						n.新兵，新成员，vt.征募vi.征募(兵)
overstate							vt.夸大
generalization					n.概括，推论
hub							n.轮毂，中心
conservative								adj.保守的，传统的n.保守的
at a conservative estimate			保守估计
restock						vt.再装满
convict						vt.<法>判决vi.<法>判决，n.囚犯
deepen						vt.使...变深vi.使...变深
tank						n.容器，一箱，坦克vi.惨败
negative						adj.否定的，消极的，负面的n.否定的
accelerate								vi.加速vt.加速
territory						n.领土(领域)，地盘
impact						n.冲撞，影响vt.影响vi.影响
distraction					n.分心，娱乐，精神错乱
resolve						vt.决定，解决vi.决定，分解n.决定(决心)
