exception						n.例外，异议
sustainable						adj.可持续性的
trigger						n.板机
intend						vt.想要，计划，意指
spread					vt.展开，涂，覆盖，传播vi.传播n.传播，范围
estimate						n.估计(估价)，评价vt.估计(估价)
technique							n.方法，技术，技巧
include						vt.包括
academic						adj.学业的
distinctive					adj.特别的
consist							vi.组成
bid							n.出价，争取vt.出价，vt.表达，命令
benefit						n.益处，vt.获益vi.获益
downsize						vt.精简
avoid							vt.避免，避开
gender					n.性别，性
interracial				adj.种族间的
complaint								n.抱怨，抗议，疾病
pattern					n.图案，榜样，模式，样品vt.模仿，装饰
mood							n.心情，坏心情，气氛
the indicative mood				陈述语气
sympathy						n.同情，支持，意气相投
discount						n.折扣，<金融>贴现vt.不予考虑
value							n.价值，重要，值，vt.重视，价值
moral values					道德观
altitude								n.海拔，<天文学>纬度
groundsheet						n.防潮布
evolutionary					adj.进化的，演变的
implement						n.工具vt.实施
dominant						adj.支配的，显眼的，首要的
scope							n.范围，领域，机会
suspect						vt.推测，怀疑n.嫌疑犯，adj.不可信的
