confrontation					n.对抗，冲突
puzzle							n.谜vt.使困惑vi.苦思冥想
critic						n.评论家，批评者
apartment						n.公寓套间
analyze						vt.分析，解读
maintain						vt.维持，供养，坚称，保养
curb							vt.控制，限制n.控制
version						n.说法，变体，版本
rival							n.竞争对手adj.相互竞争的vt.与...不相上下
beneficial						adj.有益的，受益的
substantial						adj.可观的，显著的，<正式>真实的
recover							vt.收复，恢复，挽回，利用vi.康复
diploma						n.毕业文凭
carpenter								n.木匠
circumstance					n.状况(可数或不可数)
canteen						n.食堂(英)，水壶，餐具柜(英)
disorderly						adj.杂乱的，目无法纪的
essentially						adv.本质上，非常
prevent						vt.阻止
ceremony							n.仪式，礼节
assume							vt.假定，获得(承担)，装出，呈现
demand						vt.强求，需求n.要求，需求
principle					n.原则，行为准则
reception						n.欢迎，接待，接待处，招待会
transfer						vt.调动，转移，使转化，vi.调动，转移，改编n.调动，转移
preventable						adj.可预防的
anticipate						vt.预料，期望，是先驱
as anticipated					正如所料
assumption						n.假定，获得，承担
prescription							n.开处方，处方，规定
