evolution						n.进化<生物>，演变
annoy							vt.惹恼，打搅
unintended						adj.非计划中的
origin							n.产地，起源
qualify						vt.使具有资格，限定，修饰vi.有权(合格)
emergence						n.出现，形成
complain						vi.抱怨，抗议vt.抱怨
merit							n.价值，荣誉vt.值得
forum							n.公共集会场所，论坛
arrange						vt.整理，排列，安排，达成vi.安排
determination						n.决心
bargain						n.协议，便宜货，vi.讲条件
appetite							n.<书面>食欲，<比喻>欲望
neutral						adj.中立的，平淡的，互相抵消的，n.空档
primitive									adj.<人类学>原始的，早期的，简陋的
therapy						n.治疗
conscience						n.良心，内疚
define						vt.给...下定义，阐明，界定
creativity						n.创造性
tailor						n.裁缝，vt.定制
dramatically					adj.戏剧性的，突发惊人的
panic							n.恐慌vi.恐慌vt.恐慌
motivation					n.动机，积极性
durable						adj.耐用的(持久的)
remedy						n.治疗药物，改进措施，补偿vt.补偿
inevitable								adj.必然发生的n.必然发生的
diverse						adj.多种多样的
context						n.环境，上下文
prominent						adj.重要的，著名的，显眼的
witness						n.目击者，<法>证人，证明vt.目睹vi.证明
