revolt				反抗，违抗，感到厌恶，使惊骇
specialist				专家，专科医生，专业的
carpet				地毯，覆盖，训斥
a carpet of				厚厚的一层
meditation				冥想，沉思
persist				持续存在，坚持不懈
avoid					避免，避开
yellow				黄色，胆小的
consult				咨询，查阅，商量
assume				假定，获得，装出，呈现
doctorate				博士学位
resultant				因而产生的
fuse					保险丝，导火线，熔接，结合
very					很，极端的，正是的，最合适的
very much				非常，很多
critic				评论家，批评者
ingenious				心灵手巧的
continent				大陆
residence				住所，居住
puppet				木偶，傀儡
consultant				顾问，医师
preparation				准备
presume				推测，认定，假定，擅自行事，利用
transistor				晶体管
precedent				先例
capacity				容纳的能力，产能，能力，职位
party					聚会，团体，党派，当事人
equation				方程，等同
commence				开始
neglect				疏于照管，遗漏，忽视
contemporary			同时代的，当代的，同龄人
continuous				连续的，持久的，进行的
the continuous tense		进行时
\\\\
