doctor								医生，博士，篡改
urban							城市的
preliminary			初步的
viewpoint				观点
verdict				裁决，结论
apartment						公寓套间
concrete						具体的，混凝土
verge					接近，路边
education					教育
verge on				接近
combat				战斗
marble				大理石，弹子
medal								勋章，奖牌
cycle					循环，自行车
careful							小心的，节俭的
biology							生物学，生理
classification					分类，类别
intelligible					明白易懂的
unexpected						出乎意料的
the unexpected				意外的事情
economy					节约，经济
discreet					考虑周到的，朴素的
discreet elegance			素雅
be discreet				审慎点
prison							监狱
finger								手指，狭长物
captain						船长，机长，队长
sign									符号，迹象，征兆，签订
event						事件，可能发生的事，社交场合，比赛项目
inverse					相反的，倒数
accidental					意外的，偶然的，附带的
certainty					必然的事，确定
refine					提炼，改进，使...优雅
spectrum					频谱，范围
\\\\
