propose				提出，打算，提名，求婚
recollect				回忆起
allow								允许，分配
custom				习俗，习惯，惠顾
temple								神殿，太阳穴
equivalent						相等物，相等的
discount						折扣，不予考虑，贴现
comparative						相对的，比较的
dictionary							词典
design								设计，意图
congress						代表大会，国会
vertical						垂直的
indignant					义愤的
entertain					使快乐，款待，怀有
efficiency				效率
loyalty				忠诚
volcano					火山
negligible				可忽略不计的
specification			明确说明，规格，要求
gentleman						先生
preclude				杜绝，排除，防止
apart								相隔，与众不同的
anonymous				匿名的
consider							考虑，顾及，认为，凝视
consecutive				连续的
spectacular				壮观的，惊人的
directly				直接的，恰好，立刻
economics				经济学
act									行为，法案，表演，行动
compensation					补偿
\\\\
