accountant								会计
resolute						有决心的，坚定不移的
sympathize						同情，支持
coherent						连贯一致的，条理清楚的
terminal						晚期的，终点的，站，终端
aside				向旁边，旁白
criticize					批评，评论
generalize					概括，普及
assistant					助手
consent					同意
magnificent				壮丽的，极好的
purpose					目的，用途，决心
partly							在一定程度上，部分的
participate				参加
assimilate					吸收，同化
appetite							食欲，欲望
revenue						收入
sentence							句子，判决
dome						穹顶，半球形物
fact							事实，现实
side							面，侧面，边缘，一边
namely						即
actual									实际的，真实的
escape					逃跑，泄漏，逃避
provoke					激怒
battle					战斗，斗争
timber					木材，木质的，林木
efficient					效率高的
device						装置，电子设备，手法
company								公司，陪伴，客人
\\\\
