infect			传染，污染，影响
advent			出现，到来
visible					看得见的，明显的
money				钱，工资，财产
hesitate			犹豫，有顾虑
exceed				超过，超出
meditate			冥想，沉思，谋划
prosecute				起诉，继续进行
visit						访问
valley									山谷
acrobat			杂技演员
exceedingly			非常
supermarket						超市
polite				有礼貌的，礼节性的
particular					特别的，挑剔的，细节
degenerate			恶化，堕落的
eligible			有资格的，合意的
incur				招致，引起
occupation						居住，占领，职业
apology								道歉
malignant			恶意的，恶性的
fragrant						香的
contempt			蔑视
assembly							人群，集会，立法机构
transform					改变
article					物件，文章，条款，冠词
disperse			散去，驱散
progress							进步，行进，持续
suffice			足以，满足...的需要
close									近的，亲密的，严密的，关上，结束
\\\\
