apparent					明显的，表面上的
tin					锡，金属罐
parcel								包裹
eloquent				雄辩的，传神达意的
shepherd				牧羊人，放牧，引领
inject				注射，引入
accelerate								加速
prescribe				嘱咐，规定
metric				公制的
resume				继续
barrel				桶，炮管，笔杆
metal									金属
metaphor				隐喻，象征
priority							优先，优先的
diligent							勤奋的，坚持不懈的
barber				理发师
advance							前进，上涨，提前，预支
princess				公主
refusal						拒绝
artistic				艺术的，精美的
console					安慰，控制面板
tempt					引诱
impose						强制执行，将...强加于人
concise				简洁的，简略的
communicate						表达，交流，相连
certify							证明
comparison				比较，类似
mode				方式，工作状态，行为方式
compartment			车厢，隔间
\\\\
