consideration				考虑，关心，报酬
react							作出反应，有不良反应
proceed				继续，前行
determine					查明，确定
adequate				足够的，适当的，能胜任的
catastrophe						灾难
directory					名录簿，目录
fellowship				友情，团体
merchant				商人，商人的
humidity				潮湿，湿度
cat								猫
version						说法，变体，版本
reporter					记者
vanish						消失
nominal				名义上的，微不足道的，正常的
noun					名词
portable						便于携带的，可移植的
reverse							相反情况，失败，相反的，倒档
factory							工厂
accurate						准确的
portrait				肖像，描绘
detector				探测器
fellow								男人，同辈，同类的
greeting					招呼
acid									酸
customary				惯常的，遵照习俗的
as is customary			按惯例
modernization			现代化
parallel					平行的，同时的，纬线
police						警察
departure						出发，背离，开端
\\\\
