carrier							运输公司，运输工具
manuscript							手抄本，手稿
fine								罚款，极好的
impart								传授，传达，带来
advise								劝告，建议
recede								后退，渐渐远去，相后倾斜，变得模糊
economic							经济学的，经济的，有利可图的
bulletin							简要新闻，公告
formula							惯用语句，方案，配方
formulae							分子式，公式
tomb									坟墓
volunteer							志愿者，主动提供
coincide					同时发生，相接，相符
clothing					衣服
her								她
emotion					情绪，冲动
ceremony							仪式，礼节
accompany							陪同，伴随，伴奏
discrepancy				差异
logical				逻辑的，合理的
venture				企业，探索，大胆说出，敢
cream						奶油，米黄色
precede				先于
retain						保留，记住，挡住
occupy					居住，占用，担任
occupy oneself with		使自己忙于某事
airport				机场
uncover				揭露，发现
parameter				参数，界限
average								一般水平，平均的，普通的
versus					相对，对
bat								球板，速度，眨眼，蝙蝠
\\\\
