objection						反对
pale				苍白的，浅的，越轨
format					样式，格式
voice				说话声，发言权，意见，代言人
abdomen			腹部
spicy				加香料的
specify						具体说明
modern					现代的，近代的，最新的
prestige			威望
clothe						给...穿衣服，覆盖
lawyer							律师
enclosure			围场，附件
motor									电动机，推动力，机动车的，进展迅速
addition								加法，添加物
project					项目，投掷，展现
silver					银，银色，银器
incorporate				纳入，收录
evade					逃脱，逃避
sensitive					敏感的，善解人意的
conventional							传统的，墨守陈规的
cut				切，挖出，减少
intimate			亲密的，详尽的，暗示，宣布
affect				影响，打动，侵袭
chairman							主席
important							重要的
mob						暴民，一帮，围攻
demonstrate					示范操作，证明，表露
basin						盆地，流域
price								价格，代价，给...定价
marginal			微不足道的，非主流的，边缘的
\\\\
