position					位置，姿势，状况，立场，摆放
solid							固体的，纯的，挤满的，连续的
mobile						可移动的，适应性强的
identification						坚定，认同
convenience						方便，便利设施
logic					逻辑学，理由
immediate						立即的，紧急的，最近的，直接的
autonomy				自治，自主
crystal				结晶体，水晶，清澈的
local						本地人，邻近的
process						过程，加工，处理
great						大的，强烈的，伟大的，出色的
revolution							革命，天体运行
ban							明令禁止，禁令
competition					竞争，比赛
marine						海洋的，航海的
significance							重要性，意义
panic							恐慌
satisfactory				令人满意的，尚可的
factor			因素
perspective				透视法，观点
impetus				动力，促进因素
announce							宣布，介绍
contract					合同，感染，收缩
entertainment					娱乐，款待
detective						侦探
radioactive							放射性的
follow						跟随，继承
database								数据库
vigorous				有力的，强健的，坚决的
\\\\
