solution					解决办法，溶液，答案
decision					决定，判决，果断
care						小心，忧虑，想要，喜欢，关心
politician					政治家
critical					批评性的，关键的，评论家的
obtain					获得，赢得，存在
resistant					抵抗...的
pose						摆姿势，构成
vivid						鲜艳的，清晰的，生动的
millimeter					毫米
shiver					颤抖
escalate					使...上涨，恶化
graduate					研究生的，毕业，渐进，将...分等级
spirit					精神，灵魂，实质，心境，偷偷带走
contradiction				矛盾，反驳
value						价值，重要，值，重视
bathe						浸洗，沿着...流淌，使沉浸，游泳
success					成功的，受好评的，通过的，一帆风顺的
genuine					真的，真诚的
port						港口，射击孔
currency					货币，通行
prosperity					繁荣
expand					扩大，增加
woman						女人
manage					完成，管理
exceptional				例外的，杰出的
satisfaction				满足感，补偿，自满
mood						心情，坏心情，气氛
enterprise					企业，事业
consequently				因此
\\\\
