metropolitan					大都市的，本土的
include						包括
herself								她自己
summon				召唤，召集
activate				启动，触发
pyramid				金字塔，锥体
contain							容纳，包含，抑制
lure				引诱，诱惑力，诱饵
cure				治愈，解决，晒干
lower				较低的，放下，降低，变阴沉
lower oneself		降低身份
detain			耽搁，拘留，住院
modify			修改，降低，修饰
encounter			遭遇，邂逅
conceive			想出，怀有，怀孕
emergency							紧急情况
successor			继任者，替代物
retrospect			事后看来
performance						表演，表现，履行，性能
essential						完全必要的，本质的，必需品，基本要素
disclose			使...显露，透露
nominate			提名，任命，指定
crisis						危机
indication			迹象
heritage		遗产
scale						等级，刻度，比例
sympathetic			有同情心的，赞同的，合意的
conversion			转变，兑换，改建
psychology			心理学
tomato						番茄，鲜红色
mark									斑点，符号，标志，得分，做记号于，是...的特征
\\\\
