rectangle								长方形
solo					独唱，单飞，单独的
permanent							永久的
former					以前的，前者，模具
barbecue				户外烧烤
receive							收到，遭受，欢迎
university							大学
merge									合并，融合
agency					代理机构，介入，作用
greet									迎接，对...作出反应
subsequent				随后的
benefit								益处，获益
embarrass							使尴尬
marvelous					令人惊奇的，极好的
office				办公室，职位
indicative			指示的，陈述的
proportion						部分，比例，均衡
definite			明确的，明显的，自信的
van				送货车，前卫
assist								帮助
medical				医疗的，医学的
subjective									主观的，臆测的
vocal				发声的，直言不讳的
vocals				演唱
luxury				奢华，奢侈的
among					在...中
secret							秘密，隐蔽的
inspiration					灵感，妙计
curl				弄卷，卷曲，卷发
deposit					放下，存放，使...沉积，定金
crime					罪，犯罪活动
\\\\
