abandon					放弃
memory				记忆力，回忆，纪念
projector				幻灯机
trumpet				小号，宣扬
transparent						透明的，显而易见的
profitable						获利的，有益的
grade									等级，年级，斜坡，将...按级分类
bicycle						自行车
disposition				性情，倾向，布置
disorder				混乱，失调
equality							平等
export							出口，传播
subject				主题，科目，缘由
furnish					为...配备家具，提供
possibility						可能性
prayer								祷告
production						生产，产量，出示，上演
continual				持续的，反复的
parent					父母
survive									留存，幸存
alongside							在...旁边
involve						需要，影响，使参与，吸引
solidarity				团结
embark				上船
to embark on			开始某事
intimidate				恐吓
carriage								马车，承载架，仪态
remark							言论，注意，议论
detach				使...分开
detach oneself			挣脱
immerse				浸泡，使...沉浸
immerse oneself			专心
partial				部分的，偏袒的，钟爱
\\\\
