recreation						娱乐，再现
attract							吸引
formation				形成，排列
speciality				特色服务，特产
motion				运动，手势，动议
privacy					不受干扰，隐私
prosper						富有，繁荣
articulate				善于表达的，清晰的发音
car					汽车，车厢
gratitude				感激之情
resemble						像，类似于
synthetic						合成的，假的
pessimistic				悲观的
insist						坚决要求，坚持认为
certificate						结业证书，合格证
technology								技术
testimony				证词，说明，证明
give testimony			作证
invention							发明物，虚构
resemblance			相似之处
admire							羡慕，欣赏
succession			一连串，连续，继承
a succession of		一连串
in succession		连续的
counter						柜台，筹码，反驳
hers					她的，它的
primitive									原始的，早期的，简陋的
politics								政治
parliament			议会
predecessor			前任
college					学院，大学，协会
summary				总结，即决的，概要的
interact			相互作用，交流
\\\\
