import						进口，含义，重要性
adverse			不利的
technique							方法，技术，技巧
circle				圆，圈子，围绕，盘旋
medium								中等的，媒介
official				官员的
divert				使...转向，改变...的用途，使愉悦
agitate			使焦虑，搅动，鼓动
maneuver			熟练谨慎的移动，操纵，策略
room for manoeuvres	回旋余地
manoeuvres			演习
allowance							补贴，限量
nickname			绰号
adverb				副词
spiritual						精神的
artery				动脉，干线
merit							价值，荣誉，长处，值得
bacterium			细菌
current						当前的，流行的，电流，趋势
bottom						底部，根源，尽头
verify				证实，核对
security							安全，担保，保障，证券
induce						劝说，导致
prosperous			富有的，繁荣的
cohesive			团结的
merchandise			商品，买卖
resign						辞职
battery								电池，一系列
motivate						促动
alleviate						减轻
senate				理事会，元老院
Senate				参议院
portray			画，描绘，扮演
\\\\
