commercial							商业的，商务的，大型的，广告
generator				发电机，制造者
cape					披肩，海角
intervene					介入，阻碍
mercy						仁慈，宽容力，幸运的事
prevent						阻止
capable					能干的，可能的
tractor				拖拉机
visual					视觉的
simulate				假装，模拟，模仿
valuable				很值钱的，重要的
productive							高产的，富有成效的
detect						查明，发现
fracture				骨折，裂缝，断裂
sensation				感激，察觉，轰动
improve							改善，增加，减少
recall					召回，回忆起，使...恢复
affection							喜爱，爱情
formulate					构想，制定，创立，表达
conversely				相反的
graceful				优雅的，得体的
monkey					猴子
positive				确定的，乐观的，十足的，正的，优点
access									入口，享用机会，进入，存取
panel					嵌板，控制板，专家咨询组
erect						直立的，建造，竖起
oppose						反对，抵制
void					空白，无效的
consumption				消耗，消费，接受
ambassador				大使
\\\\
