versatile				有多种技能的，多用途的
vital								必不可少的
evoke					唤起，引起，召唤
dominate				统治，主宰，占优势
desolate				无人居住的，荒芜的，悲伤的
accept							接受，采用，忍受
secondary				次要的，间接的，中等的
physiological			生理的
pronunciation								发音
commerce				贸易，交易
commodity				商品，有用的东西，可贵品质
video					录像
selection							挑选
procession				队伍
bath										洗澡，浴缸
furious				狂怒的，激烈的
conspiracy					阴谋
intellectual				智力的，知识分子
calcium				钙
sentiment				情绪，观点，伤感
provision				供给，准备，规定
anticipate						预料，期望，是先驱
progressive				逐步的，进步的，进行的
documentary					纪录片
inclusive				包括的
isle							岛
disposal				处理，出售
grand								壮观的，傲慢的，极好的
bar						长条，酒吧，障碍，阻挡
prospective				预期的
\\\\
