romance				浪漫氛围，风流韵事，渲染
supervise				管理，监督
medicine						医学，药
verse					诗
effect						结果，效果，实行
aggressive							好斗的，积极强硬的
art								美术，技能
month						月
diverse						多种多样的
curtain				窗帘，帷幕，
recover							收复，恢复，挽回，利用，康复
possibly					也许，尽全力的
middle							中间，腰部
illustration				插图，例证
equip								装备，使有能力
market						市场，销售
sister							姐妹，护士长，有官方关系的
generous					慷慨的，丰厚的
democracy					民主国家
sometime					在某个时候，从前的，临时的
consist							组成
temporary									短期的，临时的
incidentally				附带的，偶然
architect						设计师
movement							动作，运动，运输
municipal					市政的
Catholic					天主教的
generate						产生，生成，创造
simplicity						简单，朴素
absent							缺席的，缺乏的
\\\\
