except								除...外
privilege							特权，荣幸
vacant						空缺的，心不在焉的
account						账户，账单，描述，利益
clothes						衣服
evidence						证据，证词，迹象，证明
community					团体，社区，共享
cloth							布料，抹布
eventually					最终
appal						使惊骇
classify						将...分类
division							分开，分配，除法，部门
mankind								人类
solitary				独自的，孤单的
method							方法，条理
anniversary				周年纪念日
occur									发生，出现，被想到
support								支持，资助，证实
expense						费用，代价
approximate				大约的，接近
beneficial							有益的，受益的
disgrace				羞耻
disgrace oneself			出丑
vocation				使命感，职业
certainly									无疑的，当然
general								普遍的，整体的，正常的，首席的，将官
basket						篮，一组
accustomed						习惯的
composite				复合的，合成物
oblige					强迫，帮助
diameter						直径
\\\\
