acceptance				接受，赞成，忍受，验收
artificial						人造的，假装的
cattle								牛
protect						保护
banner					横幅，口号，旗帜
divide							分，分配，分开，除
pet					宠物，宠儿，宠爱
systematic				有条理的
capture				俘获，刻画
loyal					忠实的
tiny						极小的，幼小的
system								系统，方法，身体
dispose				使倾向于，布置
commonplace				普遍的
manner						方式，举止，风格，种类
fierce							凶猛的，强烈的
invitation							邀请，鼓励
policeman							男警察
product				产品，乘积
reject						驳回，拒绝
legal							法律的，法定的
cap						便帽，盖子，覆盖，胜过
monitor						显示器，班长，观察，监测
form						形状，形式，表格，状态，制作，形成
absolute				绝对的，十足的
country					国家，乡下，地带
movie					电影
cripple				跛子，有缺陷的人
procedure							程序
terminate				终止，解雇，结束
\\\\
