invade						侵略，侵扰
correct						正确的，纠正，批改，调节
symmetry				对称
helmet				头盔
time					时间，一段时间，时刻，次
view								观点，思维方式，视野，景色，看
receipt								收据，收到
management				管理，控制
perfect				完美的，精确的，完全的
conductor						指挥，向导，导体
objective				公正的，客观的，宾语的，目标
beverage		饮料
manipulate				操作，控制，篡改
counterpart				相当的人，对应物，副本
persecute				迫害，纠缠
marital				婚姻的
spiral				螺旋形的，不断上升或下降
designate						命名，指派
provide							提供，规定
symposium				专题研讨会
technical						技术的，专业的
individual					个人，个体
present								在场的，当前的，礼物，提交，呈现，介绍
mercury				汞
Mercury				水星
level							水平的，不相上下的，平静的
simply								简单的，朴素的，仅仅，的确
excursion						远足，涉足，离题
bandage						绷带
gene							基因
recycle							回收利用
\\\\
