curve				曲线，弯曲
religion				宗教信仰
invalid						残疾人，退役，无效的
effective			有效的，给人深刻印象的，实际的
predominant			占优势的，明显的
geometry								几何学
syndrome			综合征
temperature					温度，体温
appraisal			评价
invent						发明，捏造
monopoly	垄断
occurrence			发生的事，发生，存在
attain					实现，获得，达到
legacy			遗产，遗存，老式的
semiconductor			半导体
prize									奖品，典型的，珍视
inherit				继承，接手
term						期限，术语，项，条款，付款，关系
humanity						人类，人道
tactic			策略
tactics			战术，手段
kilometre				千米
special								特别的，专门的，具体的，专长
resolution			坚定，决心，解决，分解
make a resolution		下决心
man					男人，人，丈夫，老兄
circular			圆的，通知
baseball			棒球
limitation			限制
simplify							简化
collect						收集，使镇定，积聚起，获取
bank								岸，堆积，银行
\\\\
