highlight							最精彩的部分
formidable					难克服的，令人钦佩的
verbal						口头的，动词的
menu								菜单
accessory					附件，装饰品，从犯
legend						传说，铭文
assumption						假定，获得，承担
pronounce							发...的音，宣布，宣判
continue						持续，继续，延伸
perceive					察觉，把...看作
proposition					主张，计划，提议，任务
be susceptible to				容易感染，容易遭受
be susceptible of				容许
obsolete					淘汰的，过期的
invisible					看不见的，隐藏的
daylight							日光
create						创造，引起，发脾气
cathedral								总教堂
centigrade						摄氏的
levy						税，征收
catalog					目录，一系列
married						已婚的，婚姻的
political							政治的
band						乐队，波段，带状物，戒指，分类
ascertain					查明
accuracy						精确
inform							通知
opposite								对立面，对面的，相反的
precede				先于，地位高于
preceding			在前的
hero				英雄，男主角
postman									邮递员
\\\\
