proficiency				熟练
exception						例外，异议
avert					防止，将...移开
exclusive				高档的，独有的，排斥的
exclusive of			不包括
suspicion				怀疑，看法，感觉
a suspicion of			少许
surprise						惊喜，出人意料，意外的
revise						修改，复习，修订
uniform								制服，均匀的，相同的
communication							交流，信息
paradigm			范例
symphony							交响乐，和谐
subscribe							订购
incident								发生的事，暴力事件
decisive						果断的，决定性的
convict						判决...有罪，囚犯
commemorate				纪念
characteristic							典型的，特征
motel					汽车旅馆
reduce							减少，降低，缩短，迫使
analogy				类似，类推
carve					雕刻，切开
moderate				中等的，有节制的，温和的
assign						分配，指派，确定
conclude						结束，推断，决定
quarrel					争吵，分歧
spectator				观众
finish						结束，吃完，毁掉，终点
attractive						漂亮的，有吸引力的
soluble				可溶的，可解开的
petty					琐碎的，小气的，次要的
\\\\
