agenda							议事日程
vague									模糊的，含糊的，微弱的
universal							普遍的，全体的，通用的
primary				主要的，最初的
educate					教育，培养
secure									牢固的，安全的，保护，获得
verb				动词
advertise								公布，为...做广告
vanity					虚荣，无用
calendar				历法，日历
solemn					严肃的，郑重的
conviction				定罪，坚定信念
envisage				展望，想象
career					职业，生涯，猛冲
ordinary					普通的，日常的，寻常
invert					倒置，颠倒
inventory				存货清单
gracious				亲切的，优裕的，天哪
survival									存留，幸存者
circumference			圆周
calculate							计算，估计，计划
order						条理，状况，顺序，命令
outside				外面，外界，至多，户外的
allocate						分配
aspire					渴望
merely								仅仅，只是
trademark				商标，特征，特别的
exposure							揭发，暴露，亮相
law					法律，定律，行为规范
metropolis				首都，大城市
\\\\
