representative							典型的，代表
inherent					内在的，固有的
dialect					方言
ideology					意识形态
denounce					告发，谴责
specific							详细的，特有的
essence					本质，精油
heroine						女英雄
customer				顾客，家伙
here								这里，来了
crisp					松脆的，清新的，炸
democratic						民主制度的
introduction						介绍，推行
collective				集体的
elevator				电梯
difficult					困难的
dictation								口述，听写，命令
name					名字
overtime				加班时间
comparable				比得上的，相似的
senator				参议院
insult						辱骂，侮辱
intact				完好无损的
sufficient						充足的
creative				有创造力的
batch					一批
consistent								一贯的，持续的，不变的
mirror					镜子，写照，映现出，反映
proof							证据，验证，校样
domain				领域，领土
\\\\
