invaluable				无法估价的
coincidence					巧合，同时发生，相符
sole					脚掌，鞋底，仅有的
submerge				淹没，掩盖
submerge oneself			潜入水中，潜心
illustrate					说明，举例说明
result								结果，成绩，发生
gentle							温柔的，善意的
describe							描述，形容
cargo					货物
apologize				道歉
debate									辩论，考虑
agony					极度痛苦
celebrity				名人，名声
remarkable				出色的，非凡的
legitimate				合法的，合理的
grant								准予，授予，承认，拨款
collection								收集，收取，募捐
avenue						大街，林荫道，途径
respective					各自的
controversy					争论
estimate						估计，评价
coordinate					坐标，协调
coordinates					套装
inspect							检查
symptom						症状，征兆
appropriate				合适的，有关的，占用，播发
considerable						相当大的，著名的
delight							愉快，使高兴
discriminate			区别对待，区别
prepare									准备
\\\\
