removal					搬迁，消除，免职，切除
deficiency					缺乏，缺点
assistance						帮助
perpetual					一再反复的，无休止的
transport							运输，狂喜，狂怒，放逐
deduce					推断
impossible						不可能的
recur						再现，复发，重新忆起，循环
conform						遵从，符合
description					描述，种类
enclose					围绕
swallow					吞下，吞没，耗尽，相信
porter						行李员，护工
direction				方向，指导
directions				指引，指南
transaction						交易，公报
atom					原子，微量，微粒
mere					仅仅的，最少的
signature								签名
resident						居民，常住的
module				模块
criterion					标准
specialize					从事专门研究
grace					优雅，宽限期，大度，优点，装饰
be graced with			天生具有
graces				宠爱
especially							尤其，十分
similar							相似的
difficulty						困难
locomotive				火车头，运动的
curious							好奇的
artist				艺术家，能手
log				原木，日志，记录
\\\\
