principle								原则，行为准则
shallow									浅的
margin						页边空白，边缘，幅度，极限
moon								月球，出神的想
cup								杯子，奖杯，使成杯状
considerate						体贴的
cart					大车，携带
opportunity				机遇，机会
successive				连续的
consolidate				加固，整合，合并
herb							草本植物
identify						辨认，认出，联系，认为...等同
officer					军官，官员，警察
diversion								转向，消遣，佯攻
basic								基本的，简陋的
reduction				缩减，折扣，简化
apparatus				设备，机构，器官
diffuse				使...扩散，传播
midst					中间
comedy									喜剧
grateful								感激的
indignation				愤慨
sympathy						同情，支持，意气相投
infinite							无限的，极大的
lever				杠杆，施压手段，撬动，操控
compete					竞争
active							积极的
caress			爱抚
preposition			介词
technician							技师
\\\\
