equipment						器械，设备
prevalent				流行的，普遍的
defect				瑕疵，缺陷，叛变
expensive						昂贵的
adventure				冒险活动
timely				及时的，适时的
ventilate				使...通风，公开表达
define						给...下定义，阐明，界定
addict				对...入迷的人
resistance						抵抗
senior							年长的，级别高的，成人的
presently				现在，不久
illusion				幻想，假象
gently				温柔的，平缓的
cry				哭，流出，大声表示
remote									遥远的，细微的，遥控器
humid				湿热的
extravagant			挥霍的，昂贵的，过分的
repetition			重复，重现
emerge							出现，摆脱
lecture						讲座，训斥
advocate								支持，拥护者
proceedings			事件，诉讼
object							物品，对象，目的，反对
solar					太阳的
inside					里面，内侧，内幕，监狱
introduce							介绍，主持，引出，推行
revolutionary		革命的
sportsman			运动员
volume			册，容积，音量，量
volumes of			大量
\\\\
