rectify				改正，修复
reproduce						复制，再现，繁衍
panorama				全景，概述
immune				免疫的，受保护的，豁免的
march							齐步走，使行进，进展
elegant								优雅的，简明的
location				地方，位置
on location			外景
cemetery					墓地
submarine				潜艇，海底的
prior					在先的，优先的
convention				大会，习俗，惯例，公约
memorial					纪念碑，纪念物
vocabulary						词汇，词汇量，词汇表
document					文件，记录，用文件证明
desperate					绝望的，极渴望的，极严重的
speculate				猜测，投机
expectation					预料，希望
layman				外行
count								数数，计算，重要，认为
suicide				自杀，自毁
preside				担任主席，主持
monarch				君主
elect									选举，选择
below					在...下面
consequence					结果，重要性
bargain							协议，便宜货，讲条件
partner					合伙人，伙伴
visa							签证
importance								重要性
excess						过量，过多的
\\\\
