president								总统，会长
sensible						明智的，实用的，意识到的
bare				裸露的，空的，仅仅的，刚够的
definition						释义，清楚
reception						欢迎，接待，接待处，招待会
prince							王子
distract						使...分心，给...以消遣
accommodate							容纳，关照
secretary							秘书，大臣
county						郡，县
presence				在场，风度
pardon					原谅
merry						欢乐的，微醉的
convert				转变，换算
limit							极限，限制，边界
cover					遮盖，包裹，处理，报导，支付
evident						明显的
criminal							罪犯，犯罪的
signify						表示，要紧
beside						在...旁边，与...协作，与...相比
manual					体力的，手的，使用手册
dorm					宿舍
circus						马戏，喧闹的场面
bathroom						浴室，洗手间
romantic				浪漫的，夸张的，情爱的
reform					改良，改革
acre									英亩，大量
universe						宇宙，领域
execute				执行，表演
inspire							鼓舞，使产生，激起
\\\\
