enlighten			启迪，阐明
actress				女演员
dilemma								窘境
fin				鳍，散热片
island									岛屿
sanction			准许，处罚，
sanctions			国际制裁
lightning				闪电
carpenter						木匠
paradox				悖论，矛盾的人或事物
pillow							枕头，垫子
capital								大写字母，首都，好处
infectious			感染性的
profit								利润
script			剧本，笔记，脚本
confusion			困惑，混淆，窘迫
sociology			社会学
recipe								食谱，诀窍
cupboard					橱柜
advice						劝告，意见
seaside				海滨
palace								宫，府，豪宅
suspicious			怀疑的，可疑的
human							人的，人
gender						性别
ornament				装饰
spectacle				精彩的表演，奇观
spectacles				眼镜
principal				最重要的，校长，主角
companion						朋友，伙伴，指南
attempt						企图
metre						米，节拍
\\\\
