decide								决定，解决
promote							晋升，促进，推销
genetic				基因的
private							私人的，秘密的，内向的，私立的
resist						抵抗，拒受...的诱惑
depart				出发，背离
platform								舞台，政纲，平台
absence									缺席，缺乏
temper				脾气，情绪，怒气，缓和
irrespective			不考虑
second					第二的，另外的，秒，片刻，调遣
convenient						方便的
petition				请愿书，祈求，请求
prime					首要的，最好的，盛年，事先指点
prime oneself			吃饱某物
Monday				星期一
equator				赤道
visitor									来客，参观者
competitive			好竞争的，竞争的，有竞争力的
aspect							部分，方面，景色
revive				使复元，振兴，恢复
grammar							语法，文理
pan								平底锅，淘洗
husband								丈夫，节俭使用
curb							控制，限制
harmony							和谐
invasion				侵略，大批涌入
vacation						假期，放假
consensus							一致意见
priest			祭司
executive		有执行权的，经理
\\\\
