vision				视力，眼力，想象，幻象，图像
resent				对...感到愤恨
locality				地区
call							称呼，呼唤，打电话，喊叫，需要
provided				提供，规定
concession				让步，折扣，特许权
furnace				熔炉
subordinate				级别低的，次要的，使...服从
remove							拿走，取消，辞退，搬迁
participant				参与者
refuse					拒绝，垃圾
abstract								抽象的，抽象，提取
following					接下来的，下列的，顺向的，追随者
monument						纪念馆，典范，遗迹
illuminate				照亮，阐明
sense						理解力，感觉，判断力，理智，意义
intelligent						有才智的
increase						增加，增强
catch									捕获，抓住，使意外，察觉，击中
dominant						支配的，显眼的，首要的
proposal							提议，求婚
category						种类
concede			承认，让与，退让
statesman							政治家
resolve						决定，解决
marry				结婚，适合
cater								满足...的需要
precious					贵重的，做作的
curriculum						课程
summer			夏天
summers			年岁
\\\\
