celebrate				庆祝，主持
fireman				消防队员
recognize				认出，承认，赞赏
recovery				康复，找回，恢复
recognition				认出，承认，赞誉
congratulate							向...祝贺
devise				设计，发明
evacuate				撤出，抽空
dialog				对话
banquet				宴会，赴宴
move				移动，行进，搬家，进展
contradict					与...相矛盾，反驳
corporation					大公司
prisoner					犯人
accommodation							住所，和解
embassy								大使馆
respect								尊敬，考虑，谨慎，方面，问候
fragile					易碎的，娇嫩的，脆弱的
deficit					赤字
grandmother					奶奶
compensate							赔偿，补偿
paralyze					使...瘫痪
evaluate						评价，评判
excessive							过高的，过分的
orderly					有序的，守秩序的
salesman						推销员
curiosity						好奇，珍稀物
discipline						纪律，惩罚，学科，训导
equal							相同的，平等的，等于
soldier						士兵，从军
\\\\
