barely						仅仅，几乎不
final					最终的，决定性的
confine				禁闭，限制
confines				界限，限制
creature							动物，人，工具
communism							共产主义
deceive				欺骗，使人误信
deceive oneself			自我欺骗
characterize				描绘，是...的特征
basis					基础，出发点，根据
species					种
part									部分，职责，方面，地区，分开
summarize				总结
signal							信号，标志，传达，表明
circulate							循环，传播，散发
religious								信教的，宗教的，肃穆的
massacre				大屠杀，惨败
decrease							减少
countryside					乡下
improvement			改善，增加，整修
precision				清晰，明确，精确
suppose							认为，设想
accident					事故，偶然的事
comprise			由...构成，组成
be comprised of		由...组成
penny				便士
compare							比较
character							性格，特性，字，名誉
genius			天才，天资，才干，特征
dedicate								献出
expose					揭露，暴露
formal			正式的，拘谨的，敷衍的，高尚的
same							相同的
\\\\
