timid					胆怯的
sideways							向旁边的，向旁边，侧身
controversial							有争议的
captive				俘虏，被俘虏的，受控制的
expansion				膨胀，扩大
discourse				辩论，论文，谈话，论述
finance							资金，财政
contact						接触，联系，通讯，熟人
criticism						评论，批评
motive				动机，作为动因的
pregnant									怀孕的，意味深长的
magnify				放大，扩大
approval								赞同，批准
parasite					寄生虫
extraordinary								非凡的
closet				壁橱，隐秘的
the closet				隐秘
slow					缓慢的，迟钝的，减速
possess								拥有，支配
daytime				白天
common				常见的，共同的，普通的
marriage					婚姻，婚礼，紧密结合
particle						颗粒
diagnose				诊断
assignment				任务，作业，分配
concert						音乐会，合作
centimetre							厘米
herd						群，民众，放牧
expect						预计，指望，要求
incidence					发生，发生率
monster				怪物，巨人，巨大的
\\\\
