mobilize			动员，组织
prove				证明
advantage								有利条件
fragment						碎片，片段，使...分开
consume						吃，喝，耗尽，充满
arithmetic					算术
fisherman					渔民，垂钓者
succeed					成功，继承
locate						把...设置在
portion					一部分
capsule							胶囊，航天舱，瓶封
low									低的，小的，少的，消沉的
represent					相当于，代表，占据，声称
competent						有能力的，足够的
vacuum						真空，空白，吸尘
manifest					明显的，清楚显示，证明
manifest itself				显现
evolve						进化，逐步发展
furniture					家具
composition						构成，创作，作品
director						董事，负责人，导演
manager						经理，管理人
synthesis					综合，合成
conspicuous						显眼的，显著的
tempo						速度，节奏
thermometer					温度计
intelligence					智力，情报
ecology					生态
doom							劫数，毁灭
insulate					使隔绝，使...绝缘，使分离
March								三月
\\\\
