policy							政策，原则
pronoun				代词
astronomy								天文学
conduct					行为，处理，指挥
fiction						小说，错觉，虚构的事
specimen				样本，某种人
successful					成功的，受好评的，通过的，一帆风顺的
architecture						建筑学
department							部门，科，系
blow							吹，喘气，喷水，爆裂
dignity					尊贵，高尚，自尊
fur							毛皮，水垢
pray									做祷告，祈求
carrot					胡萝卜，诱饵
contemplate				深思，设想，凝视
gradual					逐渐的，平缓的
advisable					可取的
report					报告，传闻
upgrade					改进
temperament				性情，喜怒无常
generation						一代人，产生
discovery					发现
barrier							障碍
review							检查，评估，评论
model							模型，型号，样板
invite								邀请
congratulation				祝贺
dividend					股息，收益，被除数
separate							分开的，独立的，隔开
superficial						外表的，粗略的，肤浅的
\\\\
