precise				清晰的，精确的，恰好的
hollow					中空的，凹陷的，虚伪的，山谷
member					成员，构件
sometimes				有时
discover					查明，发现
recipient				接受者
spokesman				发言人，代言人
circumstance					状况，形势
agent						代理人，特工，动因
indispensable					不可或缺的
appreciate						感激，意识到，欣赏，升值
monthly				每月一次的
amid					在...中，环绕在...中
isolate				使脱离，隔离，使...孤立
poll						投票，获得，调查
cognitive			认知的
sequence			一系列，顺序
a sequence of		一连串
concept						概念
solve							解开，解决
barren			贫瘠的
revolve			旋转，反复掂量
revolve around		以某事物为中心
circuit					电路，环形，巡游
fraction			分数，一小部分
sane				神志正常的，明智的
carry							拿，运送，推进，具有
membership		会员资格，会费，会员人数
geology			地质学
certain					确定的，某，轻微的
indicate							表明，暗示
monotonous		乏味的，单调的
\\\\
