miracle					奇迹
deduct						扣除
produce						生产，生育，引起，出示，农产品
temptation						诱惑
prospect						希望，景色，潜在客户，勘探
simultaneous					同时发生的，同时进行的
subsidy					补贴
underestimate				低估
obligation					义务，责任，债务
sample						样品，样本，品尝
manufacture					大量生产，生成，编造，工业品
interval					间隔，中场休息
action					行动，作战，作用，情节，实施
increasingly				越来越
confuse							使迷惑
base					底部，根据，基础
evolution						进化，演变
exclude						拒绝...参加，排除，开除
barn						谷仓，牛栏
legislation					法律
simple								简单的，朴素的
pension						养老金
parade						阅兵，展示，炫耀，游行
prescription							开处方，处方，规定
heroic						英勇的，坚决的，宏大的
modest								谦虚的，适中的，简朴的
finite					有限的，限定的
obscure				费解的，鲜为人知的，模糊的，遮挡
basement						地下室
information							消息
\\\\
