sensible						明智的，实用的，意识到的
sign									符号，迹象，征兆，签订
explicit				详述的，明确的
wreck				失事，沉船，毁坏
ravage			毁坏，劫掠
ravages			毁坏
wreathe			笼罩，使缠绕，编成，缭绕
impede			阻碍
thesis			论文
precedent					先例
lofty						高耸的，崇高的，高傲的
fridge						冰箱
immune				免疫的，受保护的，豁免的
scratch								划破，挠，取消
circulate							循环，传播，散发
nitrogen			氮
alone				独自的，单独的，仅仅
sieve				筛子，筛
spiral				螺旋形的，不断上升或下降
mercenary			唯利是图的，外国雇佣兵
mechanism						机械装置，机制，途径
integrate			使成为一体，使融入
earnest			认真的，热切的，认真，保证
in earnest			认真的
adolescence				青春期
grave							坟墓，严重的
intrigue			引起...的好奇心，密谋
claim							要求...的所有权，声称，要求，获得，索赔
opt					选择
stipulate			规定
eradicate					根除，杜绝
\\\\\\\\
