defraud				骗取
improvise				即兴表演，临时做
oppress				压迫，压抑
flabby				松弛的，肥胖的，软弱的
essay						短文，尝试
racket				球拍，吵闹声，诈骗
flaw						瑕疵，错误，毁掉
nominate						提名，任命，指定
syllabus						教学大纲
stiff					硬的，不易移动的，艰难的，过高的，极其
toxic							有毒的，有害的
rampant				猖獗的，疯长的
propulsion				推进
telling				叙述，有力的
throughout							遍及，贯穿
highlight							最精彩的部分
devise				设计，发明
wield					挥舞，行使
enormous					庞大的
fade					使...褪色，消失
exhilarate				使兴奋
slum					贫民窟
peer							仔细看，同龄人
slogan				口号
transaction						交易，公报
incorporate				纳入，收录
discard				丢弃
grope					摸索，猥亵
triple				有三部分的，三倍的
variety									多样化，种类
\\\\\\\\
