liaison			联络，私通
flip				轻抛，开关，发火，轻弹，无礼的
shear			剪...的毛，剪去
be shorn of		被剥夺
hover			盘旋，处于不稳定状态，徘徊
wax				蜡，给...上蜡，增加
gaily			快乐的，鲜艳的
slide								滑行，打滑，溜，降低
lump				块，肿块，把...归并在一起
inspection		检查
arena			圆形运动场
the political arena	政治舞台
economical			经济的，节俭的，简洁的
magnetic			有磁性的，有吸引力的
fluff			毛絮，失误，拍松
cashier			出纳员
maiden			少女，首次的
startle					使吃惊
chill			寒冷，害怕，惊吓
reserve						储备，保护区，拘谨，预订
substitute						代替品，替代
auditorium		观众席
esteem					尊重
creation			创造，作品
manifest					明显的，清楚显示，证明
confer					授予，赋予，商量
underneath		在...下面
hoist			升起，举起，升降机
capacity					容纳的能力，产能，能力，职位
fuel				燃料，用作...的燃料
incidentally				附带的，偶然
giggle			吃吃傻笑
\\\\\\\\
