escort				护送部队，护卫
lottery				碰运气的事
retain						保留，记住，挡住
undercharge			少收钱
synonym				同义词
turf					草地，势力范围
owe						欠，把...归因于
deplete				耗尽
fort					堡垒
delude				欺骗
ingenious				心灵手巧的
compare							比较
inland						内陆的，国内的
suppress					镇压，封锁，克制
terror							恐惧，恐怖的事物
procedure							程序
pretext					借口
flap						袋盖，拍打，襟翼，惊慌，振动
obsolete					淘汰的，过期的
deliberate						故意的，慎重的，仔细讨论，认真考虑
oath						宣誓，咒骂
depletion					耗尽
forecast							天气预报，预测
sore					易疼痛的，气恼的，紧迫的，痛处
metric				公制的
plead				乞求，声援，申辩
wrench				扳手，猛扭，痛苦
surgeon							外科医生
compensation					补偿
reference							提及，引用，考虑，参考，关系
\\\\\\\\
