huddle			挤在一起，蜷缩
dock				船坞，扣去
eccentric					古怪的，不正圆的
indefinite		含糊的，期限不定的
coverage					新闻报道，覆盖
stationary		停滞的，固定的
maximum						最大的，最大限度
edit							编辑，剪辑，主编
somehow					以某种方式
obstinate			执拗的，棘手的
string							细绳，一串，悬挂
day							一天，白天，日子
numerous					许多的
resignation		辞职，听任
laden			满载的
instinct			本能，直觉
end								末尾，结束，一方，目的
extinct			灭绝的
theme							主题
prologue			序言，开端
diagram				示意图，图表
fitting					恰当的，配件，试
install						安装，安置
dilute					稀释，削弱
storey					楼层
odds						投注赔率，可能性，不和
swirl					旋转
reassure					使安心
casualty					伤亡人数
match								比赛，和...匹配
\\\\\\\\
